YearMonth,monthly_return,picks,cumulative_return,model_name,evaluation_name,benchmark_monthly_return,benchmark_cumulative_return,benchmark_symbol,excess_monthly_return,excess_cumulative_return
2021-12-31,-0.062314880263776996,21,-0.06231488026377696,L1 Logistic Regression,walk_forward,,,SPY,,
2022-01-31,-0.025182235174288324,21,-0.08592788746840518,L1 Logistic Regression,walk_forward,-0.052741465028056655,-0.052741465028056655,SPY,0.02755922985376833,-0.03318642244034853
2022-02-28,0.04461619727978941,21,-0.0451454657677417,L1 Logistic Regression,walk_forward,-0.02951699662704188,-0.08070169200976018,SPY,0.07413319390683129,0.035556226242018485
2022-03-31,-0.1033678922140583,21,-0.1438467663423666,L1 Logistic Regression,walk_forward,0.03759048484786076,-0.04614482289258903,SPY,-0.14095837706191905,-0.09770194344977756
2022-04-30,0.008949987442323084,21,-0.1361842056524264,L1 Logistic Regression,walk_forward,-0.08776907143821644,-0.12986380607384196,SPY,0.09671905888053953,-0.006320399578584435
2022-05-31,-0.0828908352824539,21,-0.20778661837607315,L1 Logistic Regression,walk_forward,0.002257283687025602,-0.12789966183780188,SPY,-0.0851481189694795,-0.07988695653827127
2022-06-30,0.06388026466112526,21,-0.1571798178898517,L1 Logistic Regression,walk_forward,-0.08246041097082257,-0.19981341413045006,SPY,0.14634067563194783,0.04263359624059837
2022-07-31,-0.0362860615495234,21,-0.18776244289308108,L1 Logistic Regression,walk_forward,0.0920875010608091,-0.1261262310553427,SPY,-0.1283735626103325,-0.061636211837738375
2022-08-31,-0.07829412846256513,21,-0.25135587453133024,L1 Logistic Regression,walk_forward,-0.040802066225756106,-0.16178208644877368,SPY,-0.03749206223680902,-0.08957378808255656
2022-09-30,0.1131452783866878,21,-0.16665032654261924,L1 Logistic Regression,walk_forward,-0.09244589473800535,-0.23927189145244077,SPY,0.20559117312469316,0.07262156490982152
2022-10-31,0.07383348169203975,21,-0.10512121868433633,L1 Logistic Regression,walk_forward,0.0812756725414594,-0.17744320280904557,SPY,-0.007442190849419647,0.07232198412470925
2022-11-30,-0.05412516500323662,21,-0.15355668038094195,L1 Logistic Regression,walk_forward,0.0555914101901025,-0.13171611049174625,SPY,-0.10971657519333912,-0.021840569889195693
2022-12-31,0.06599853510899399,21,-0.09769266123329012,L1 Logistic Regression,walk_forward,-0.05762810704262211,-0.18175366741971222,SPY,0.1236266421516161,0.0840610061864221
2023-01-31,-0.03484439482973634,21,-0.12913301440304603,L1 Logistic Regression,walk_forward,0.0628872752826315,-0.13029638505373198,SPY,-0.09773167011236783,0.0011633706506859465
2023-02-28,-0.009121128804049614,21,-0.13707630434987028,L1 Logistic Regression,walk_forward,-0.025142657011209768,-0.15216304474573528,SPY,0.016021528207160154,0.015086740395864995
2023-03-31,-0.01625099934569988,21,-0.1510996767632694,L1 Logistic Regression,walk_forward,0.037077618689013825,-0.1207272694083632,SPY,-0.053328618034713705,-0.030372407354906206
2023-04-30,0.08790399918148666,21,-0.07647794344430403,L1 Logistic Regression,walk_forward,0.01597508263274272,-0.10668081488044445,SPY,0.07192891654874393,0.03020287143614042
2023-05-31,0.07248160555839571,21,-0.009539582016555692,L1 Logistic Regression,walk_forward,0.0046161570452569745,-0.10255711323039163,SPY,0.06786544851313873,0.09301753121383594
2023-06-30,0.06165407069488891,21,0.05152633461428491,L1 Logistic Regression,walk_forward,0.06479979732844532,-0.044402996053866106,SPY,-0.00314572663355641,0.09592933066815101
2023-07-31,-0.014131450159401033,21,0.036666742625385496,L1 Logistic Regression,walk_forward,0.0327332535032574,-0.013123197076744031,SPY,-0.04686470366265843,0.049789939702129526
2023-08-31,-0.04718796002657861,21,-0.012251446186504755,L1 Logistic Regression,walk_forward,-0.01625200729296028,-0.029161926075106148,SPY,-0.03093595273361833,0.016910479888601393
2023-09-30,-0.017464569111729535,21,-0.02950204906959142,L1 Logistic Regression,walk_forward,-0.04743437869753986,-0.07521302692764975,SPY,0.029969809585810324,0.04571097785805833
2023-10-31,0.11570655428207982,21,0.0827909247703853,L1 Logistic Regression,walk_forward,-0.021708632309322184,-0.09528888729052842,SPY,0.137415186591402,0.17807981206091372
2023-11-30,0.07104146709645748,21,0.15971398062480335,L1 Logistic Regression,walk_forward,0.09134379826764238,-0.012649137920700215,SPY,-0.020302331171184906,0.17236311854550357
2023-12-31,0.0012926667574500936,21,0.161213104335707,L1 Logistic Regression,walk_forward,0.04565521208228396,0.03242857508715602,SPY,-0.044362545324833864,0.128784529248551
2024-01-31,0.07323927057879857,21,0.24625950508379657,L1 Logistic Regression,walk_forward,0.015926565688638927,0.04887161660710948,SPY,0.057312704890159646,0.1973878884766871
2024-02-29,0.026727243418841806,21,0.2795685862392163,L1 Logistic Regression,walk_forward,0.052186826731802416,0.1036088979268901,SPY,-0.02545958331296061,0.17595968831232622
2024-03-31,-0.06550479274144497,21,0.19575071119915277,L1 Logistic Regression,walk_forward,0.0327017414447861,0.13969883076306067,SPY,-0.09820653418623107,0.056051880436092105
2024-04-30,0.05334543853582577,21,0.2595385572675972,L1 Logistic Regression,walk_forward,-0.04031942187556958,0.09374683279443152,SPY,0.09366486041139535,0.1657917244731657
2024-05-31,0.0635873141973333,21,0.33962923125222777,L1 Logistic Regression,walk_forward,0.05057978303253763,0.14906831028969902,SPY,0.013007531164795666,0.19056092096252875
2024-06-30,-0.025654181255014025,21,0.30526214013916797,L1 Logistic Regression,walk_forward,0.03528001000575576,0.1896074517740165,SPY,-0.06093419126076978,0.11565468836515147
2024-07-31,0.058245626163312775,21,0.3812879507988396,L1 Logistic Regression,walk_forward,0.01210903294121879,0.2040124475946674,SPY,0.046136593222093986,0.17727550320417218
2024-08-31,0.08876947973352976,21,0.5039041635534458,L1 Logistic Regression,walk_forward,0.023365777064432658,0.23214513402796633,SPY,0.0654037026690971,0.2717590295254795
2024-09-30,0.0008701058055472909,21,0.5052127192971405,L1 Logistic Regression,walk_forward,0.021004643449419547,0.2580259032461609,SPY,-0.020134537643872255,0.24718681605097959
2024-10-31,0.06696586563509167,21,0.606010592009824,L1 Logistic Regression,walk_forward,-0.008923564267063977,0.24679982824891256,SPY,0.07588942990215565,0.35921076376091143
2024-11-30,-0.04307056895768394,21,0.5368388020598942,L1 Logistic Regression,walk_forward,0.05963347157489407,0.3211508303663768,SPY,-0.102704040532578,0.2156879716935174
2024-12-31,0.06168877455151115,21,0.6316445044421815,L1 Logistic Regression,walk_forward,-0.024060105720770997,0.28936380171467735,SPY,0.08574888027228214,0.3422807027275041
2025-01-31,0.010997043703735514,21,0.6495877703664918,L1 Logistic Regression,walk_forward,0.02685632191072962,0.3239913710335689,SPY,-0.015859278206994107,0.32559639933292295
2025-02-28,-0.04316092614175383,21,0.5783900344453634,L1 Logistic Regression,walk_forward,-0.012694832821118496,0.3071835219216943,SPY,-0.030466093320635337,0.2712065125236691
2025-03-31,-0.0008610623646972996,21,0.5770309421898892,L1 Logistic Regression,walk_forward,-0.05571921433503624,0.23434828308851197,SPY,0.054858151970338935,0.3426826591013772
2025-04-30,0.102502170892358,21,0.7386800373287734,L1 Logistic Regression,walk_forward,-0.008670179898342067,0.223646261416925,SPY,0.11117235079070006,0.5150337759118484
2025-05-31,0.09021364890405335,21,0.8955327077728377,L1 Logistic Regression,walk_forward,0.06284486771162645,0.300546148841498,SPY,0.027368781192426903,0.5949865589313397
2025-06-30,0.03554553766559056,21,0.9629104370333361,L1 Logistic Regression,walk_forward,0.05138627117156358,0.36737636591699996,SPY,-0.015840733505973023,0.5955340711163362
2025-07-31,0.04725972472465931,21,1.0556770439466923,L1 Logistic Regression,walk_forward,0.023031441524578256,0.3988690147307077,SPY,0.024228283200081052,0.6568080292159846
2025-08-31,0.12485675354400479,21,1.3123422059888128,L1 Logistic Regression,walk_forward,0.020519537835420598,0.42757316040527193,SPY,0.10433721570858419,0.8847690455835409
2025-09-30,0.07253514186635773,21,1.4800682759437782,L1 Logistic Regression,walk_forward,0.035620412937162005,0.4784239058769171,SPY,0.03691472892919573,1.0016443700668611
2025-10-31,-0.020520445925391033,21,1.4291761689959963,L1 Logistic Regression,walk_forward,0.02383732196113164,0.513665572516339,SPY,-0.044357767886522674,0.9155105964796573
2025-11-30,0.03680327929578496,21,1.5185778180022207,L1 Logistic Regression,walk_forward,0.0019500340229998692,0.5166172718821895,SPY,0.03485324527278509,1.0019605461200312
2021-12-31,-0.06263013940851091,21,-0.06263013940851092,Logistic Regression,walk_forward,,,SPY,,
2022-01-31,-0.030967187253192727,21,-0.09165784740694671,Logistic Regression,walk_forward,-0.052741465028056655,-0.052741465028056655,SPY,0.021774277774863928,-0.03891638237889006
2022-02-28,0.05384812416305664,21,-0.04274532639157791,Logistic Regression,walk_forward,-0.02951699662704188,-0.08070169200976018,SPY,0.08336512079009853,0.037956365618182275
2022-03-31,-0.1033678922140583,21,-0.14169472431453678,Logistic Regression,walk_forward,0.03759048484786076,-0.04614482289258903,SPY,-0.14095837706191905,-0.09554990142194775
2022-04-30,0.026114688598196142,21,-0.11928034931782194,Logistic Regression,walk_forward,-0.08776907143821644,-0.12986380607384196,SPY,0.11388376003641258,0.010583456756020015
2022-05-31,-0.09111217288758576,21,-0.19952463039627066,Logistic Regression,walk_forward,0.002257283687025602,-0.12789966183780188,SPY,-0.09336945657461136,-0.07162496855846878
2022-06-30,0.07172165324803095,21,-0.14211321350396255,Logistic Regression,walk_forward,-0.08246041097082257,-0.19981341413045006,SPY,0.15418206421885353,0.05770020062648751
2022-07-31,-0.0362860615495234,21,-0.17324254624128066,Logistic Regression,walk_forward,0.0920875010608091,-0.1261262310553427,SPY,-0.1283735626103325,-0.04711631518593795
2022-08-31,-0.07766085053973096,21,-0.23744923329024503,Logistic Regression,walk_forward,-0.040802066225756106,-0.16178208644877368,SPY,-0.03685878431397485,-0.07566714684147136
2022-09-30,0.11177377202469034,21,-0.1522160577347761,Logistic Regression,walk_forward,-0.09244589473800535,-0.23927189145244077,SPY,0.2042196667626957,0.08705583371766468
2022-10-31,0.07703451383397183,21,-0.08690743390612654,Logistic Regression,walk_forward,0.0812756725414594,-0.17744320280904557,SPY,-0.004241158707487563,0.09053576890291903
2022-11-30,-0.05754234571467499,21,-0.13944892201379988,Logistic Regression,walk_forward,0.0555914101901025,-0.13171611049174625,SPY,-0.11313375590477748,-0.007732811522053629
2022-12-31,0.06599853510899399,21,-0.08265381148024498,Logistic Regression,walk_forward,-0.05762810704262211,-0.18175366741971222,SPY,0.1236266421516161,0.09909985593946724
2023-01-31,-0.03590487121691014,21,-0.11559100824037016,Logistic Regression,walk_forward,0.0628872752826315,-0.13029638505373198,SPY,-0.09879214649954163,0.014705376813361815
2023-02-28,-0.009121128804049614,21,-0.12365781656966934,Logistic Regression,walk_forward,-0.025142657011209768,-0.15216304474573528,SPY,0.016021528207160154,0.028505228176065933
2023-03-31,-0.01625099934569988,21,-0.1378992528192048,Logistic Regression,walk_forward,0.037077618689013825,-0.1207272694083632,SPY,-0.053328618034713705,-0.017171983410841585
2023-04-30,0.08790399918148666,21,-0.062117149444665065,Logistic Regression,walk_forward,0.01597508263274272,-0.10668081488044445,SPY,0.07192891654874393,0.04456366543577939
2023-05-31,0.07248160555839571,21,0.0058621053892704555,Logistic Regression,walk_forward,0.0046161570452569745,-0.10255711323039163,SPY,0.06786544851313873,0.10841921861966208
2023-06-30,0.06165407069488891,21,0.06787759874425037,Logistic Regression,walk_forward,0.06479979732844532,-0.044402996053866106,SPY,-0.00314572663355641,0.11228059479811647
2023-07-31,-0.015045801989142975,21,0.05181052384490292,Logistic Regression,walk_forward,0.0327332535032574,-0.013123197076744031,SPY,-0.04777905549240037,0.06493372092164695
2023-08-31,-0.04718796002657861,21,0.0021777308901749226,Logistic Regression,walk_forward,-0.01625200729296028,-0.029161926075106148,SPY,-0.03093595273361833,0.03133965696528107
2023-09-30,-0.017464569111729535,21,-0.015324871353192826,Logistic Regression,walk_forward,-0.04743437869753986,-0.07521302692764975,SPY,0.029969809585810324,0.059888155574456925
2023-10-31,0.11492473963405982,21,0.09783866143067588,Logistic Regression,walk_forward,-0.021708632309322184,-0.09528888729052842,SPY,0.136633371943382,0.1931275487212043
2023-11-30,0.07118606505686034,21,0.1759894758052165,Logistic Regression,walk_forward,0.09134379826764238,-0.012649137920700215,SPY,-0.02015773321078204,0.18863861372591673
2023-12-31,-0.0009041319577809189,21,0.17492622613812703,Logistic Regression,walk_forward,0.04565521208228396,0.03242857508715602,SPY,-0.04655934404006488,0.142497651050971
2024-01-31,0.0704501102777501,21,0.2576999083377789,Logistic Regression,walk_forward,0.015926565688638927,0.04887161660710948,SPY,0.05452354458911117,0.2088282917306694
2024-02-29,0.026727243418841806,21,0.2913147599357775,Logistic Regression,walk_forward,0.052186826731802416,0.1036088979268901,SPY,-0.02545958331296061,0.1877058620088874
