YearMonth,monthly_return,picks,cumulative_return,model_name,evaluation_name
2019-12-31,-0.04553237885502024,5,-0.04553237885502026,Logistic Regression,standard
2020-01-31,-0.09856318585943342,5,-0.1396077483947442,Logistic Regression,standard
2020-02-29,-0.24769111979114208,5,-0.3527192686544721,Logistic Regression,standard
2020-03-31,0.26676477449044345,5,-0.18004757032507301,Logistic Regression,standard
2020-04-30,0.15895119060694934,6,-0.04971515538718241,Logistic Regression,standard
2020-05-31,0.017693886815191275,4,-0.0329009229044116,Logistic Regression,standard
2020-06-30,0.02300584923954526,5,-0.010651987337047086,Logistic Regression,standard
2020-07-31,0.11136199595755834,3,0.09952378204974299,Logistic Regression,standard
2020-08-31,-0.010496021893952217,6,0.08798315636042764,Logistic Regression,standard
2020-09-30,-0.036575044723641106,5,0.04819012375797671,Logistic Regression,standard
2020-10-31,0.18321950746982918,5,0.24023900196765235,Logistic Regression,standard
2020-11-30,0.03144126431813065,4,0.2792336842461718,Logistic Regression,standard
2020-12-31,0.021126473679224073,4,0.3062593810059753,Logistic Regression,standard
2021-01-31,0.0659545038853273,6,0.3924130704257791,Logistic Regression,standard
2021-02-28,0.0181968010717246,4,0.41775053407798635,Logistic Regression,standard
2021-03-31,0.014524219518078875,4,0.4383422540568085,Logistic Regression,standard
2021-04-30,0.03370815645944224,5,0.486826119798782,Logistic Regression,standard
2021-05-31,-0.017681225431857,4,0.46053721199664643,Logistic Regression,standard
2021-06-30,0.04835005666247607,3,0.5311542689543391,Logistic Regression,standard
2021-07-31,0.05122497285542645,6,0.6095876048189954,Logistic Regression,standard
2021-08-31,-0.08594581856844312,4,0.47125028056520724,Logistic Regression,standard
2021-09-30,0.1001690127405429,3,0.618623968663671,Logistic Regression,standard
2021-10-31,0.007159411351403777,5,0.6302123634785759,Logistic Regression,standard
2021-11-30,0.075271696812227,4,0.7529212142418791,Logistic Regression,standard
2021-12-31,-0.04158164658455814,5,0.6800318638206988,Logistic Regression,standard
2022-01-31,-0.043328010289517827,4,0.6072394259383578,Logistic Regression,standard
2022-02-28,0.08378188946696181,5,0.7418969818692682,Logistic Regression,standard
2022-03-31,-0.11078336553046272,5,0.5489237718104352,Logistic Regression,standard
2022-04-30,-0.008190088492398481,5,0.536237949051328,Logistic Regression,standard
2022-05-31,-0.07783109785648784,5,0.4166708629078639,Logistic Regression,standard
2022-06-30,0.09751767105959314,5,0.554821306116623,Logistic Regression,standard
2022-07-31,-0.041395043802664996,5,0.49045941004460847,Logistic Regression,standard
2022-08-31,-0.08093406638550613,4,0.3698304692071559,Logistic Regression,standard
2022-09-30,0.032393238855328264,3,0.41420371478748974,Logistic Regression,standard
2022-10-31,0.05798389696629388,5,0.4962047572750774,Logistic Regression,standard
2022-11-30,-0.05376190384170275,4,0.4157659409869565,Logistic Regression,standard
2022-12-31,0.07699047115568948,4,0.5247664278297204,Logistic Regression,standard
2023-01-31,-0.045763476300840315,5,0.4549878155454181,Logistic Regression,standard
2023-02-28,-0.013923753266408025,4,0.4347289241961336,Logistic Regression,standard
2023-03-31,0.028437716000736402,5,0.47552933788046525,Logistic Regression,standard
2023-04-30,0.09472705453401557,5,0.6153018859364079,Logistic Regression,standard
2023-05-31,0.0815513940006149,5,0.7470320064663443,Logistic Regression,standard
2023-06-30,0.10904244721070075,4,0.9375326518068552,Logistic Regression,standard
2023-07-31,0.007491153280540838,5,0.9520470058875932,Logistic Regression,standard
2023-08-31,-0.01960070429703233,4,0.9137855097512833,Logistic Regression,standard
2023-09-30,-0.04937829213827822,5,0.8192860497607806,Logistic Regression,standard
2023-10-31,0.15229794886826728,5,1.0963595835439999,Logistic Regression,standard
2023-11-30,0.06908008271113603,4,1.241176276967502,Logistic Regression,standard
2023-12-31,-0.005175907148083668,3,1.2295761566554306,Logistic Regression,standard
2024-01-31,0.08341287426013459,6,1.415551512263924,Logistic Regression,standard
2024-02-29,0.06643118810761477,6,1.5760194691587621,Logistic Regression,standard
2024-03-31,-0.10061232764022468,5,1.3168401543201633,Logistic Regression,standard
2024-04-30,0.06097239586072908,5,1.4581034493554053,Logistic Regression,standard
2024-05-31,0.024428149993313372,4,1.5181503691153404,Logistic Regression,standard
2024-06-30,-0.09344845276751243,4,1.2828331132855713,Logistic Regression,standard
2024-07-31,0.033571519956251,4,1.3594712907050281,Logistic Regression,standard
2024-08-31,0.04786709959751718,4,1.472412337974688,Logistic Regression,standard
2024-09-30,0.016090049768424066,6,1.5121935755407665,Logistic Regression,standard
2024-10-31,0.047144624972473174,5,1.6306299995178923,Logistic Regression,standard
2024-11-30,-0.016659829656215763,5,1.5868041518373937,Logistic Regression,standard
2024-12-31,0.04335600298464346,5,1.6989576403651436,Logistic Regression,standard
2025-01-31,-0.03276268994083775,4,1.6105325280304053,Logistic Regression,standard
2025-02-28,-0.05835418873792253,4,1.458197020183233,Logistic Regression,standard
2025-03-31,0.05173241931126912,4,1.5853654991810644,Logistic Regression,standard
2025-04-30,0.10022762475669282,5,1.8444905422918842,Logistic Regression,standard
2025-05-31,0.15450316165549913,4,2.2839733243751454,Logistic Regression,standard
2025-06-30,0.11394207067918057,5,2.6581560450096418,Logistic Regression,standard
2025-07-31,0.10034002132681086,4,3.0252155005827115,Logistic Regression,standard
2025-08-31,0.036014592251698146,4,3.1701819955614123,Logistic Regression,standard
2025-09-30,0.021116171853778398,6,3.25824027524122,Logistic Regression,standard
2025-10-31,-0.07941065310662701,4,2.9200906338993717,Logistic Regression,standard
2025-11-30,0.008515483337379866,3,2.953472100373361,Logistic Regression,standard
2019-12-31,-0.04553237885502024,5,-0.04553237885502026,L1 Logistic Regression,standard
2020-01-31,-0.09856318585943342,5,-0.1396077483947442,L1 Logistic Regression,standard
2020-02-29,-0.24769111979114208,5,-0.3527192686544721,L1 Logistic Regression,standard
2020-03-31,0.26676477449044345,5,-0.18004757032507301,L1 Logistic Regression,standard
2020-04-30,0.15895119060694934,6,-0.04971515538718241,L1 Logistic Regression,standard
2020-05-31,0.017693886815191275,4,-0.0329009229044116,L1 Logistic Regression,standard
2020-06-30,0.012132128531301883,5,-0.021167952598584505,L1 Logistic Regression,standard
2020-07-31,0.11136199595755834,3,0.08783673790726043,L1 Logistic Regression,standard
2020-08-31,-0.010496021893952217,6,0.07641877968914024,L1 Logistic Regression,standard
2020-09-30,-0.036575044723641106,5,0.037048714680642636,L1 Logistic Regression,standard
2020-10-31,0.18321950746982918,5,0.22705626940664936,L1 Logistic Regression,standard
2020-11-30,0.03144126431813065,4,0.265636469906283,L1 Logistic Regression,standard
2020-12-31,0.021126473679224073,4,0.29237490547522405,L1 Logistic Regression,standard
2021-01-31,0.0659545038853273,6,0.37761285119968924,L1 Logistic Regression,standard
2021-02-28,-0.0057459425257937995,4,0.36969716693390087,L1 Logistic Regression,standard
2021-03-31,0.014524219518078875,4,0.3895909492597396,L1 Logistic Regression,standard
2021-04-30,0.03370815645944224,5,0.4364314983920117,L1 Logistic Regression,standard
2021-05-31,-0.017681225431857,4,0.4110336292515224,L1 Logistic Regression,standard
2021-06-30,0.014769759006537833,3,0.43187425590568784,L1 Logistic Regression,standard
2021-07-31,0.05122497285542645,6,0.5052219757968406,L1 Logistic Regression,standard
2021-08-31,-0.08594581856844312,4,0.37585444095977194,L1 Logistic Regression,standard
2021-09-30,0.1001690127405429,3,0.5136724219854041,L1 Logistic Regression,standard
2021-10-31,0.007159411351403777,5,0.5245094255056733,L1 Logistic Regression,standard
2021-11-30,0.075271696812227,4,0.6392618367697185,L1 Logistic Regression,standard
