Ticker,YearMonth,ret_1m,ret_3m,ret_6m,ret_12m,momentum_accel,vol_1m,vol_3m,vol_6m,downside_vol_3m,avg_volume_1m,avg_volume_3m,volume_change_1m,volume_ratio_1m_3m,Log_Volume,log_volume_change_1m,market_cap_1m,log_market_cap_1m,market_cap_3m_avg,market_cap_change_1m,market_cap_ratio_1m_3m,log_market_cap_change_1m,ret_1m_rank,ret_3m_rank,ret_6m_rank,ret_12m_rank,vol_1m_rank,vol_3m_rank,vol_6m_rank,avg_volume_1m_rank,volume_ratio_1m_3m_rank,Log_Volume_rank,market_cap_1m_rank,market_cap_ratio_1m_3m_rank,log_market_cap_1m_rank,future_return_1m,label_top20
AAPL,2019-12-31,0.11163655032892028,0.29014393065848787,0.49267292396793794,0.7842587304179358,0.06382014928617585,0.010571010283964498,0.03574314342430763,0.04086640818072241,0.0,113752133.33333333,103070069.0821256,0.268616340066818,1.1036388579762795,18.549532370198225,0.2379268105279131,1039211157148.2849,27.669483038531045,954235699852.2695,0.09878381638378508,1.0890508050675225,0.0942039466847433,0.9292929292929293,0.9595959595959596,0.9595959595959596,0.9591836734693877,0.6666666666666666,0.5858585858585859,0.41414141414141414,0.9797979797979798,0.8484848484848485,0.9797979797979798,0.98989898989899,0.9797979797979798,0.98989898989899,0.03049797253437414,0
AAPL,2020-01-31,0.03049797253437414,0.20031477364720107,0.45523607192604776,0.744553618195791,-0.08113857779454614,0.017839576966251665,0.04273251733639329,0.043837933530310694,0.0,139731923.80952382,114383452.3809524,0.22838947907957619,1.2216096026210916,18.755236315011118,0.20570394481289256,1095339030833.7402,27.72208504847526,1026777760555.0131,0.05401007610375985,1.0667732326435149,0.05260200994421638,0.6868686868686869,0.9494949494949495,0.9696969696969697,0.9693877551020408,0.8080808080808081,0.45454545454545453,0.3939393939393939,0.9797979797979798,0.8686868686868687,0.9797979797979798,0.98989898989899,0.9090909090909091,0.98989898989899,-0.11226347349843935,0
AAPL,2020-02-29,-0.11226347349843935,0.016937000418840498,0.2850650167135862,0.483043363574178,-0.1427614460328135,0.024199853062978574,0.11335454699731116,0.08393903110616273,0.06481534664448638,158909431.57894737,137464496.2406015,0.13724499918547917,1.1560034476161116,18.88384498518253,0.1286086701714133,969701774714.508,27.600254412423855,1034750654232.1777,-0.11470170657901302,0.9371356961683313,-0.12183063605140632,0.2828282828282828,0.8282828282828283,0.9494949494949495,0.9489795918367347,0.7777777777777778,0.9191919191919192,0.7373737373737373,0.9797979797979798,0.48484848484848486,0.9797979797979798,0.9797979797979798,0.4444444444444444,0.9797979797979798,-0.14899104775001792,0
AAPL,2020-03-31,-0.14899104775001792,-0.22148791259642486,0.0043926445079927046,0.16255167855183905,-0.036727574251578576,0.06502661047626031,0.09482093087010207,0.11121384397836634,0.07762123259992303,285457836.3636364,194699730.58403587,0.7963555311178547,1.4661439720915674,19.46960489266417,0.5857599074816378,902054136730.423,27.527940373756135,989031647426.2238,-0.06976128099177847,0.9120579094489605,-0.07231403866772013,0.5353535353535354,0.5050505050505051,0.8484848484848485,0.9081632653061225,0.42424242424242425,0.6060606060606061,0.7373737373737373,0.9797979797979798,0.47474747474747475,0.9797979797979798,0.9797979797979798,0.5757575757575758,0.9797979797979798,0.21954217418896693,0
AAPL,2020-04-30,0.21954217418896693,-0.07867036228169078,0.10588557555231004,0.35115613592930517,0.36853322193898486,0.030571251170281526,0.20300272503113248,0.13785281571421226,0.07762123259992303,155490438.0952381,199952568.67927393,-0.45529455391386287,0.7776366121339827,18.862094796343943,-0.607510096320226,1042209280884.7046,27.672363884471785,971321730776.5453,0.1553733179056045,1.072980504669124,0.14442351071565085,0.7777777777777778,0.6363636363636364,0.8585858585858586,0.9595959595959596,0.36363636363636365,0.696969696969697,0.696969696969697,0.9797979797979798,0.09090909090909091,0.9797979797979798,0.9797979797979798,0.8282828282828283,0.9797979797979798,0.1028493843774303,0
AAPL,2020-05-31,0.1028493843774303,0.14458264747826832,0.16396844425800516,0.7849831542501278,-0.11669278981153663,0.012235717912182713,0.18835142071885577,0.14148107511205504,0.08602002152531722,140296800.0,193748358.15295815,-0.09771429215429939,0.7241186523461538,18.75927073654458,-0.10282405979936371,1130895588820.4956,27.754030991224074,1025053002145.2076,0.08509452905706949,1.1032557208786111,0.08166710675228828,0.6767676767676768,0.7474747474747475,0.8585858585858586,0.9696969696969697,0.0707070707070707,0.6565656565656566,0.696969696969697,0.9797979797979798,0.3434343434343434,0.9797979797979798,0.9797979797979798,0.8181818181818182,0.9797979797979798,0.13344729802991173,1
AAPL,2020-06-30,0.13344729802991173,0.5244541267470473,0.1868059643648381,0.7715131290110513,0.030597913652481434,0.01988893248970534,0.06050587742074776,0.14413383736371185,0.0,147426163.63636363,147737800.57720056,0.05081629542771915,0.9978906079580216,18.808838022893212,0.04956728634863339,1297574220915.985,27.891517653368524,1156893030207.0618,0.14738640219592014,1.1216025916274595,0.13748666214445038,0.9595959595959596,0.9292929292929293,0.8888888888888888,0.9696969696969697,0.30303030303030304,0.24242424242424243,0.7070707070707071,0.9797979797979798,0.696969696969697,0.9797979797979798,0.9797979797979798,0.9696969696969697,0.9797979797979798,0.16733967722649368,1
AAPL,2020-07-31,0.16733967722649368,0.4591998751063724,0.3444040922903562,0.9564253303459216,0.033892379196581945,0.02728978397353188,0.03225916810057688,0.15333455732620532,0.0,137285600.0,141669521.21212122,-0.06878401625762975,0.9690552973242763,18.737573985412727,-0.0712640374804856,1511844581071.6248,28.04435159810606,1313438130269.3684,0.16513148666315347,1.151058847942511,0.1528339447375373,0.9393939393939394,0.9494949494949495,0.9393939393939394,0.9595959595959596,0.8686868686868687,0.16161616161616163,0.797979797979798,0.9797979797979798,0.8080808080808081,0.9797979797979798,0.98989898989899,0.9494949494949495,0.98989898989899,0.18666794529623787,1
AAPL,2020-08-31,0.18666794529623787,0.5701017220465727,0.7971111858302544,1.3094047160551288,0.019328268069744192,0.01992001040236721,0.026940405248212822,0.13329849833310015,0.0,193812433.33333334,159508065.65656567,0.4117462671491645,1.2150635300827224,19.082401410849823,0.34482742543709577,1839263618042.1448,28.240386399859222,1549560806676.585,0.2165692433401052,1.1869580142433382,0.1960348017531608,0.9595959595959596,0.9696969696969697,0.9494949494949495,0.9696969696969697,0.7878787878787878,0.20202020202020202,0.6666666666666666,0.9797979797979798,0.98989898989899,0.9797979797979798,0.98989898989899,0.9494949494949495,0.98989898989899,-0.13690569267903407,0
AAPL,2020-09-30,-0.13690569267903407,0.1955967079975165,0.8226323354319987,0.8306385113503236,-0.32357363797527194,0.034404974872961916,0.18149321669972487,0.1286084894969866,0.07904253852183248,185011671.42857143,172036568.25396827,-0.0454086549216669,1.0754206114798146,19.035929469855674,-0.04647194099414875,1650690741288.7573,28.13221494732359,1667266313467.509,-0.10252629090446486,0.990058233621791,-0.10817145253563254,0.020202020202020204,0.8585858585858586,0.9292929292929293,0.9696969696969697,0.9696969696969697,0.9696969696969697,0.8888888888888888,0.9797979797979798,0.46464646464646464,0.9797979797979798,0.98989898989899,0.35353535353535354,0.98989898989899,-0.06789948928598677,0
